Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,7.865000,7.885000,7.680000,7.735000,6.659240,14728000
2017-04-04,7.700000,7.755000,7.675000,7.695000,6.624803,11802800
2017-04-05,7.675000,7.695000,7.625000,7.680000,6.611889,8661000
2017-04-06,7.675000,7.700000,7.660000,7.680000,6.611889,6716200
2017-04-07,7.625000,7.670000,7.600000,7.635000,6.573149,6895400
2017-04-10,7.480000,7.600000,7.455000,7.585000,6.530101,17253000
2017-04-11,7.575000,7.590000,7.495000,7.545000,6.495664,9899000
2017-04-12,7.540000,7.635000,7.515000,7.630000,6.568842,17386200
2017-04-13,7.360000,7.415000,7.240000,7.240000,6.233083,35304000
2017-04-17,7.260000,7.285000,7.235000,7.265000,6.254606,15980600
2017-04-18,7.195000,7.245000,7.175000,7.210000,6.207255,12138600
2017-04-19,7.200000,7.225000,7.150000,7.170000,6.172818,9725000
2017-04-20,7.270000,7.275000,7.200000,7.235000,6.228779,6851200
2017-04-21,7.225000,7.240000,7.170000,7.240000,6.233083,14905000
2017-04-24,7.285000,7.305000,7.180000,7.215000,6.211561,14650200
2017-04-25,7.260000,7.290000,7.210000,7.270000,6.258910,14318800
2017-04-26,7.225000,7.270000,7.205000,7.250000,6.241692,10860400
2017-04-27,7.250000,7.300000,7.235000,7.285000,6.271824,8921000
2017-04-28,7.270000,7.300000,7.240000,7.280000,6.267520,9022600
2017-05-01,7.275000,7.290000,7.255000,7.270000,6.258910,4568000
2017-05-02,7.280000,7.340000,7.245000,7.260000,6.250301,11353400
2017-05-03,7.335000,7.365000,7.300000,7.340000,6.319175,7579800
2017-05-04,7.360000,7.390000,7.340000,7.360000,6.336393,10237600
2017-05-05,7.350000,7.415000,7.350000,7.400000,6.370831,11956000
2017-05-08,7.425000,7.575000,7.425000,7.550000,6.499969,19107600
2017-05-09,7.530000,7.575000,7.435000,7.470000,6.431095,21557200
2017-05-10,7.445000,7.480000,7.385000,7.455000,6.418182,8922400
2017-05-11,7.445000,7.650000,7.435000,7.635000,6.573149,30645600
2017-05-12,7.675000,7.755000,7.625000,7.640000,6.577452,10838800
2017-05-15,7.590000,7.615000,7.545000,7.560000,6.508578,8069000
2017-05-16,7.585000,7.655000,7.585000,7.630000,6.568842,10042800
2017-05-17,7.575000,7.605000,7.410000,7.445000,6.409572,16875800
2017-05-18,7.510000,7.545000,7.440000,7.490000,6.448313,8158800
2017-05-19,7.525000,7.590000,7.495000,7.580000,6.525796,6215400
2017-05-22,7.580000,7.585000,7.505000,7.525000,6.478446,6237600
2017-05-23,7.525000,7.590000,7.505000,7.530000,6.482750,6535200
2017-05-24,7.535000,7.610000,7.515000,7.600000,6.543015,12805800
2017-05-25,7.715000,7.845000,7.705000,7.755000,6.676458,15821600
2017-05-26,7.755000,7.795000,7.685000,7.765000,6.685067,11395600
2017-05-30,7.765000,7.795000,7.665000,7.700000,6.629108,12903000
2017-05-31,7.595000,7.615000,7.505000,7.550000,6.598585,9038600
2017-06-01,7.545000,7.655000,7.535000,7.650000,6.685983,11342000
2017-06-02,7.600000,7.630000,7.540000,7.590000,6.633543,9718000
2017-06-05,7.570000,7.645000,7.560000,7.615000,6.655393,8110000
2017-06-06,7.665000,7.810000,7.650000,7.795000,6.812710,16073200
2017-06-07,7.670000,7.720000,7.640000,7.665000,6.699093,14086000
2017-06-08,7.670000,7.675000,7.570000,7.635000,6.672873,11539000
2017-06-09,7.550000,7.560000,7.315000,7.475000,6.533036,25309800
2017-06-12,7.590000,7.620000,7.530000,7.530000,6.581104,9556400
2017-06-13,7.565000,7.630000,7.560000,7.570000,6.616064,9688000
2017-06-14,7.605000,7.645000,7.535000,7.585000,6.629174,6649200
2017-06-15,7.550000,7.575000,7.470000,7.535000,6.585474,6543400
2017-06-16,7.455000,7.460000,7.285000,7.335000,6.410677,17488600
2017-06-19,7.345000,7.425000,7.310000,7.410000,6.476226,10638600
2017-06-20,7.450000,7.505000,7.425000,7.450000,6.511185,9027000
2017-06-21,7.480000,7.500000,7.440000,7.490000,6.546144,6022600
2017-06-22,7.475000,7.480000,7.320000,7.385000,6.454376,13805200
2017-06-23,7.385000,7.475000,7.345000,7.425000,6.489336,8339600
2017-06-26,7.455000,7.510000,7.430000,7.470000,6.528665,6078400
2017-06-27,7.360000,7.395000,7.265000,7.355000,6.428156,14850800
2017-06-28,7.365000,7.500000,7.335000,7.460000,6.519926,14128200
2017-06-29,7.410000,7.450000,7.345000,7.445000,6.506815,9605000
2017-06-30,7.460000,7.600000,7.415000,7.510000,6.563625,18206000
2017-07-03,7.595000,7.615000,7.560000,7.570000,6.616064,7084200
2017-07-05,7.545000,7.545000,7.470000,7.470000,6.528665,10577800
2017-07-06,7.465000,7.555000,7.450000,7.470000,6.528665,10786200
2017-07-07,7.475000,7.540000,7.420000,7.520000,6.572364,8271000
2017-07-10,7.735000,7.775000,7.630000,7.660000,6.694722,14222600
2017-07-11,7.710000,7.740000,7.635000,7.735000,6.760271,10745200
2017-07-12,7.750000,7.830000,7.710000,7.820000,6.834560,21274600
2017-07-13,7.775000,7.825000,7.735000,7.780000,6.799601,20329000
2017-07-14,7.775000,7.965000,7.750000,7.835000,6.847669,23331800
2017-07-17,7.860000,7.870000,7.730000,7.820000,6.834560,14512400
2017-07-18,7.800000,7.840000,7.710000,7.775000,6.795230,12970800
2017-07-19,7.780000,7.785000,7.675000,7.690000,6.720942,15647400
2017-07-20,7.705000,7.775000,7.675000,7.760000,6.782121,9950000
2017-07-21,7.755000,7.850000,7.705000,7.840000,6.852039,9722800
2017-07-24,7.860000,7.900000,7.825000,7.840000,6.852039,9155800
2017-07-25,7.870000,7.930000,7.840000,7.905000,6.908848,10863000
2017-07-26,7.900000,7.965000,7.890000,7.955000,6.952547,6838400
2017-07-27,7.830000,7.900000,7.750000,7.795000,6.812710,8586000
2017-07-28,7.900000,7.930000,7.825000,7.855000,6.865149,6380400
2017-07-31,7.950000,7.960000,7.835000,7.900000,6.904479,12215800
2017-08-01,7.925000,7.960000,7.900000,7.955000,6.952547,11159400
2017-08-02,7.925000,7.930000,7.865000,7.890000,6.895739,5451600
2017-08-03,7.895000,7.910000,7.805000,7.885000,6.891369,11285400
2017-08-04,7.895000,7.900000,7.835000,7.835000,6.847669,4433600
2017-08-07,7.785000,7.800000,7.735000,7.770000,6.790861,6806200
2017-08-08,7.770000,7.830000,7.755000,7.760000,6.782121,4952400
2017-08-09,7.750000,7.800000,7.730000,7.800000,6.817080,5047000
2017-08-10,7.805000,7.810000,7.645000,7.660000,6.694722,9926400
2017-08-11,7.705000,7.770000,7.695000,7.745000,6.769010,6834200
2017-08-14,7.770000,7.800000,7.735000,7.735000,6.760271,3865200
2017-08-15,7.735000,7.760000,7.715000,7.745000,6.769010,4436600
2017-08-16,7.735000,7.955000,7.705000,7.825000,6.838929,15401600
2017-08-17,8.010000,8.075000,7.945000,7.965000,6.961287,18182000
2017-08-18,7.545000,7.545000,7.245000,7.395000,6.463116,67189200
2017-08-21,7.025000,7.340000,6.940000,7.280000,6.362607,61406600
2017-08-22,7.170000,7.190000,7.040000,7.130000,6.231510,30566600
2017-08-23,7.270000,7.430000,7.230000,7.410000,6.476226,33150600
2017-08-24,7.460000,7.520000,7.360000,7.495000,6.550515,15167000
2017-08-25,7.525000,7.590000,7.525000,7.575000,6.620433,17296600
2017-08-28,7.685000,7.725000,7.630000,7.655000,6.690352,19995400
2017-08-29,7.595000,7.655000,7.580000,7.635000,6.672873,14134800
2017-08-30,7.595000,7.615000,7.505000,7.525000,6.576735,13530400
2017-08-31,7.500000,7.525000,7.465000,7.500000,6.554885,17592000
2017-09-01,7.525000,7.540000,7.405000,7.420000,6.484966,10663800
2017-09-05,7.380000,7.385000,7.285000,7.325000,6.401937,12538600
2017-09-06,7.310000,7.345000,7.280000,7.310000,6.388827,12556600
2017-09-07,7.310000,7.355000,7.290000,7.290000,6.371348,8000400
2017-09-08,7.275000,7.280000,7.225000,7.265000,6.349499,17924800
2017-09-11,7.265000,7.335000,7.235000,7.285000,6.366978,14023400
2017-09-12,7.270000,7.300000,7.245000,7.270000,6.353868,8990400
2017-09-13,7.260000,7.270000,7.220000,7.265000,6.349499,5910800
2017-09-14,7.265000,7.310000,7.210000,7.275000,6.358238,7203600
2017-09-15,7.355000,7.370000,7.310000,7.325000,6.401937,10119800
2017-09-18,7.405000,7.410000,7.370000,7.400000,6.467486,7898600
2017-09-19,7.430000,7.430000,7.365000,7.400000,6.467486,4238200
2017-09-20,7.380000,7.465000,7.365000,7.420000,6.484966,11953600
2017-09-21,7.375000,7.385000,7.290000,7.320000,6.397568,15722000
2017-09-22,7.280000,7.300000,7.225000,7.295000,6.375718,10435200
